#1
double NetworkData(289,4) # time[s], Q_heat[W], m_flow[kg/s], T_supply[degC]
0	0.24	0.00	60.00
900	42765.93	14.08	48.78
1800	78491.55	14.14	75.64
2700	108547.91	14.14	76.85
3600	133998.98	14.28	77.84
4500	155611.08	16.06	76.40
5400	173979.66	12.85	77.60
6300	189655.51	7.08	74.17
7200	203100.01	4.20	73.05
8100	214661.34	2.50	69.78
9000	224639.47	1.84	65.01
9900	233277.48	1.99	63.01
10800	240726.01	1.88	58.58
11700	246994.73	1.85	55.53
12600	252047.51	2.00	53.05
13500	255977.31	1.94	51.14
14400	258801.75	1.93	50.28
15300	260089.04	1.98	49.68
16200	259457.97	1.92	49.54
17100	256965.34	1.89	49.62
18000	253018.12	1.88	49.68
18900	248885.68	1.85	49.84
19800	245650.11	1.84	50.03
20700	243722.04	1.85	50.15
21600	242870.71	1.85	50.27
22500	242344.19	1.85	50.30
23400	241709.75	1.84	50.27
24300	240912.19	1.84	50.24
25200	239797.80	1.83	50.22
26100	236461.65	1.79	50.22
27000	230042.35	1.72	50.30
27900	220949.46	1.66	50.41
28800	209522.04	1.59	50.68
29700	198374.01	1.54	51.00
30600	189512.77	1.54	51.39
31500	182549.04	1.52	51.81
32400	176987.34	1.50	52.16
33300	171654.01	1.49	52.42
34200	165711.43	1.45	52.60
35100	159031.13	1.45	52.77
36000	151656.18	1.42	52.97
36900	143440.03	1.40	53.09
37800	134337.84	1.40	53.24
38700	124410.86	1.45	53.38
39600	114080.50	1.59	53.83
40500	104335.56	1.99	54.43
41400	95956.65	2.67	55.69
42300	89015.52	2.66	60.49
43200	82485.51	2.68	63.01
44100	73350.47	2.59	64.66
45000	61859.67	2.56	65.56
45900	51283.93	2.62	66.04
46800	39112.06	2.56	66.08
47700	28234.55	2.27	67.25
48600	21176.94	2.16	67.88
49500	18963.57	2.17	67.87
50400	19452.47	2.40	67.14
51300	21181.32	3.23	65.48
52200	23828.58	3.97	62.94
53100	28016.79	4.84	65.09
54000	32797.45	5.48	67.74
54900	37776.13	5.33	69.61
55800	42715.24	4.67	70.23
56700	47527.24	3.95	69.91
57600	52074.31	3.49	68.24
58500	56608.53	3.07	66.00
59400	62006.49	3.04	65.00
60300	67605.74	3.15	64.87
61200	72820.31	2.85	66.19
62100	78653.93	2.85	67.50
63000	86182.24	2.63	68.37
63900	93883.44	2.18	67.84
64800	101771.21	1.78	66.05
65700	109627.40	1.56	63.80
66600	117371.54	1.49	61.44
67500	125005.06	1.47	59.39
68400	132513.84	1.51	57.46
69300	139931.37	1.58	55.35
70200	147300.03	1.61	53.82
71100	154628.31	1.66	52.90
72000	161925.00	1.83	52.30
72900	169209.22	2.23	51.97
73800	176489.08	2.88	53.52
74700	183751.43	3.30	56.79
75600	190994.30	3.62	58.31
76500	197917.03	3.92	59.75
77400	204570.76	3.74	60.56
78300	210950.30	3.38	60.94
79200	217070.33	2.90	60.18
80100	223007.55	2.59	59.14
81000	228844.72	2.49	57.83
81900	234605.36	2.37	56.01
82800	240290.62	2.30	54.29
83700	245992.70	2.33	52.44
84600	251694.66	2.48	51.01
85500	257411.54	2.79	50.24
86400	263141.41	3.30	50.63
87300	268671.90	3.73	52.97
88200	273862.40	3.89	55.30
89100	278778.17	4.38	57.01
90000	283461.68	4.21	59.29
90900	287990.95	3.22	59.18
91800	292378.82	3.00	59.62
92700	296630.86	2.80	58.31
93600	300717.48	2.59	55.99
94500	304566.31	2.42	53.73
95400	308120.38	2.37	52.15
96300	311398.67	2.35	51.07
97200	314353.94	2.31	50.32
98100	316893.37	2.33	49.87
99000	318974.55	2.35	49.59
99900	320532.24	2.34	49.39
100800	321235.62	2.33	49.24
101700	320854.67	2.33	49.24
102600	319217.91	2.32	49.29
103500	316354.10	2.33	49.40
104400	312470.80	2.36	49.57
105300	309008.85	2.47	49.79
106200	306235.33	2.67	50.24
107100	304321.83	3.12	51.90
108000	303199.34	3.23	55.54
108900	303071.89	3.15	56.43
109800	302874.80	2.83	55.84
110700	302513.60	2.62	54.19
111600	302019.54	2.67	52.53
112500	299414.38	3.06	51.81
113400	294813.92	4.06	54.68
114300	288263.19	4.26	59.32
115200	280039.80	4.30	60.29
116100	271713.67	4.24	60.52
117000	264606.68	4.42	60.14
117900	258502.16	4.31	60.96
118800	253210.04	4.31	59.98
119700	248425.43	4.33	60.59
120600	244030.80	4.45	61.55
121500	239947.80	4.41	63.12
122400	236346.84	3.88	64.43
123300	233481.64	3.24	63.76
124200	231494.09	2.57	62.44
125100	230412.13	2.15	60.35
126000	230051.70	1.97	58.01
126900	230203.72	1.94	55.81
127800	230605.75	2.01	54.03
128700	231084.25	2.17	52.59
129600	231462.63	2.42	51.55
130500	231387.88	2.88	51.63
131400	230787.65	3.41	54.30
132300	229878.89	3.44	58.27
133200	228940.61	3.44	59.02
134100	228953.29	3.58	58.27
135000	230067.44	3.82	59.63
135900	232192.76	4.24	61.39
136800	234954.95	4.17	62.53
137700	237629.03	3.94	61.98
138600	240159.14	3.92	61.07
139500	242478.66	3.34	60.65
140400	244363.52	2.76	60.28
141300	245793.21	2.31	58.81
142200	246693.71	2.07	57.19
143100	247207.93	1.97	55.55
144000	247552.09	1.97	54.13
144900	247924.82	1.99	53.14
145800	248428.91	2.06	52.58
146700	249067.04	2.13	52.35
147600	249847.85	2.16	52.45
148500	251951.73	2.13	52.82
149400	255098.64	2.07	52.99
150300	259158.63	2.06	52.73
151200	263860.79	2.09	52.22
152100	268776.54	2.13	51.61
153000	273854.77	2.21	50.95
153900	278868.74	2.33	50.33
154800	283903.33	2.63	50.20
155700	289026.55	3.12	51.32
156600	294230.95	3.32	54.27
157500	299504.24	3.55	55.21
158400	304858.84	3.86	54.87
159300	310343.26	4.32	56.01
160200	315989.29	4.62	57.81
161100	321743.14	5.08	58.08
162000	327601.02	4.69	59.71
162900	333128.15	4.73	58.91
163800	338403.80	4.84	59.25
164700	343422.98	5.05	59.38
165600	348188.63	5.63	60.68
166500	352874.35	5.77	61.87
167400	357546.74	5.04	61.56
168300	362184.48	4.17	60.80
169200	366785.72	3.57	59.16
170100	370850.64	3.07	57.05
171000	374470.19	2.78	54.60
171900	377683.00	2.67	52.50
172800	380489.70	2.63	51.21
173700	382947.03	2.63	50.44
174600	385034.38	2.64	50.04
175500	386826.37	2.65	49.84
176400	388327.99	2.66	49.77
177300	389504.61	2.66	49.76
178200	390362.29	2.66	49.77
179100	390981.20	2.67	49.79
180000	391368.57	2.67	49.80
180900	391620.30	2.67	49.81
181800	391736.85	2.67	49.82
182700	391615.35	2.68	49.82
183600	391225.99	2.68	49.82
184500	390396.63	2.67	49.82
185400	389104.95	2.66	49.80
186300	387224.18	2.65	49.79
187200	384587.82	2.62	49.79
188100	380893.96	2.59	49.82
189000	376201.06	2.56	49.84
189900	370815.04	2.54	49.88
190800	365309.25	2.53	49.92
191700	359941.82	2.52	49.84
192600	354853.77	2.51	49.80
193500	350440.64	2.53	49.72
194400	346589.80	2.58	49.73
195300	343771.06	2.69	49.74
196200	341181.87	2.90	49.84
197100	338521.64	3.33	50.61
198000	335766.41	3.79	53.58
198900	328456.14	4.04	55.37
199800	316264.06	4.56	56.72
200700	298866.18	4.65	59.12
201600	277039.09	4.44	61.09
202500	253355.52	4.32	61.41
203400	230066.88	3.97	60.71
204300	207081.73	4.15	60.01
205200	184341.02	4.47	61.11
206100	162119.03	5.69	62.31
207000	140680.89	6.22	65.25
207900	120338.53	6.18	67.28
208800	100873.97	5.54	67.14
209700	84794.40	5.15	68.61
210600	74904.52	4.65	69.62
211500	67106.49	3.78	70.12
212400	60541.90	2.69	70.30
213300	54947.93	1.91	69.75
214200	50085.55	1.42	69.07
215100	45971.86	1.15	68.35
